source_image_id,latitude,longitude,sun_angle,season,resolution
SRC_033,45.0,180.0,66.067561,N-summer,0.25
SRC_146,10.0,180.0,58.0428,N-summer,0.5
SRC_008,25.0,180.0,61.005891,N-autumn,0.25
SRC_046,0.0,180.0,58.061031,N-autumn,0.25
SRC_076,25.0,180.0,63.632584,N-autumn,0.25
SRC_114,-10.0,180.0,58.176498,N-autumn,0.5
SRC_170,-20.0,180.0,56.332579,N-autumn,0.25
SRC_159,20.0,180.0,67.076816,N-autumn,0.25
SRC_160,-10.0,180.0,50.604377,N-autumn,0.25
SRC_092,5.0,180.0,57.429528,N-autumn,0.25
SRC_127,-35.0,180.0,47.507974,N-autumn,0.5
SRC_131,10.0,180.0,60.540464,N-autumn,0.5
SRC_107,20.0,180.0,65.68027,N-autumn,0.5
SRC_021,-90.0,0.0,68.040851,N-autumn,0.5
SRC_051,20.0,180.0,63.609319,N-autumn,0.5
SRC_062,45.0,180.0,81.508965,N-autumn,0.5
SRC_058,30.0,180.0,69.060883,N-autumn,0.5
SRC_029,-5.0,180.0,45.485648,N-autumn,0.25
SRC_065,30.0,180.0,68.700871,N-winter,0.5
SRC_016,10.0,180.0,55.552023,N-winter,0.5
SRC_101,5.0,180.0,48.479381,N-winter,0.25
SRC_089,10.0,180.0,48.442522,N-winter,0.25
SRC_163,0.0,180.0,39.987447,N-winter,0.25
SRC_158,-5.0,180.0,35.954137,N-winter,0.25
SRC_135,5.0,180.0,41.328761,N-winter,0.5
SRC_053,-90.0,0.0,74.406575,N-winter,0.5
SRC_165,10.0,180.0,42.451267,N-winter,0.25
SRC_071,20.0,180.0,40.070501,N-spring,0.25
SRC_171,-35.0,180.0,63.65778,N-spring,0.25
SRC_112,-30.0,180.0,67.516648,N-spring,0.5
SRC_001,-5.0,180.0,51.987197,N-spring,0.5
SRC_129,20.0,180.0,41.057252,N-spring,0.25
SRC_049,5.0,180.0,42.94902,N-spring,0.25
SRC_064,90.0,0.0,60.573524,N-spring,0.25
SRC_096,25.0,180.0,40.422288,N-spring,0.25
SRC_166,90.0,0.0,60.094207,N-spring,0.5
SRC_028,10.0,180.0,42.894848,N-spring,0.25
SRC_125,-5.0,180.0,52.428603,N-spring,0.25
SRC_040,90.0,0.0,57.651744,N-spring,0.5
SRC_141,-10.0,180.0,55.206291,N-spring,0.25
SRC_145,-5.0,180.0,52.15166,N-spring,0.25
SRC_079,0.0,180.0,48.941622,N-spring,0.25
SRC_026,90.0,0.0,57.238404,N-spring,0.25
SRC_022,20.0,180.0,41.513642,N-spring,0.25
SRC_032,-5.0,180.0,52.490186,N-spring,0.25
SRC_099,15.0,180.0,42.024472,N-spring,0.5
SRC_119,90.0,0.0,58.642683,N-spring,0.25
SRC_100,20.0,180.0,41.506528,N-spring,0.25
SRC_106,25.0,180.0,40.638999,N-spring,0.5
SRC_027,35.0,180.0,41.369436,N-spring,0.5
SRC_152,30.0,180.0,40.69576,N-spring,0.25
SRC_074,0.0,180.0,50.25459,N-spring,0.5
SRC_006,-15.0,180.0,65.638079,N-spring,0.5
SRC_037,15.0,180.0,44.468297,N-spring,0.25
SRC_041,15.0,180.0,46.712049,N-summer,0.25
SRC_157,40.0,180.0,44.22455,N-summer,0.25
SRC_149,90.0,0.0,55.701783,N-summer,0.25
SRC_167,90.0,0.0,58.639078,N-summer,0.5
SRC_104,25.0,180.0,45.102036,N-summer,0.5
SRC_156,10.0,180.0,48.737382,N-summer,0.25
SRC_057,-5.0,180.0,57.599617,N-summer,0.25
SRC_002,40.0,180.0,45.868768,N-summer,0.25
SRC_168,90.0,0.0,64.709631,N-summer,0.25
SRC_068,0.0,180.0,56.216196,N-summer,0.25
SRC_010,90.0,0.0,74.440619,N-summer,0.5
SRC_015,20.0,180.0,46.484204,N-summer,0.25
SRC_019,90.0,0.0,60.00919,N-summer,0.25
SRC_132,5.0,180.0,51.83727,N-summer,0.25
SRC_088,0.0,180.0,53.004483,N-summer,0.25
SRC_043,10.0,180.0,50.433279,N-summer,0.5
SRC_169,40.0,180.0,48.615664,N-summer,0.25
SRC_147,50.0,180.0,51.835813,N-summer,0.25
SRC_059,15.0,180.0,48.046698,N-summer,0.25
SRC_118,35.0,180.0,49.493581,N-summer,0.25
SRC_070,60.0,180.0,58.788969,N-summer,0.5
SRC_039,90.0,0.0,70.63275,N-summer,0.5
SRC_036,5.0,180.0,52.749586,N-summer,0.25
SRC_091,-40.0,180.0,72.511342,N-summer,0.5
SRC_024,10.0,180.0,53.725813,N-summer,0.25
SRC_122,-5.0,180.0,57.310506,N-summer,0.25
